,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
5695,Hijack,-2008.0,117,"Action, Thriller",3.7,312,Kunal Shivdasani,Shiney Ahuja,Mona Ambegaonkar,Ishita Chauhan,Kunal Shivdasani Shiney Ahuja Mona Ambegaonkar Ishita Chauhan
5696,Hill Station,-1957.0,0,Romance,7.2,11,Shakti Samanta,Pradeep Kumar,Bina Rai,Shyama,Shakti Samanta Pradeep Kumar Bina Rai Shyama
5697,Himalay Ki Beti,-1938.0,0,,6.0,,Mohan Dayaram Bhavnani,,,,Mohan Dayaram Bhavnani   
5698,Himalay Ki Godmein,-1965.0,120,"Adventure, Drama, Family",6.8,92,Vijay Bhatt,Mala Sinha,Manoj Kumar,Shashikala,Vijay Bhatt Mala Sinha Manoj Kumar Shashikala
5699,Himalay Putra,-1997.0,0,"Drama, Romance",5.0,127,Pankaj Parashar,Vinod Khanna,Hema Malini,Akshaye Khanna,Pankaj Parashar Vinod Khanna Hema Malini Akshaye Khanna
5700,Himalay Se Ooncha,-1975.0,0,"Action, Adventure, Drama",5.7,39,B.S. Thapa,Sunil Dutt,Mallika Sarabhai,Ranjeet,B.S. Thapa Sunil Dutt Mallika Sarabhai Ranjeet
5701,Himalaya Ke Aanchal Mein,-1995.0,0,Drama,6.0,,Taran Dhasmana,Chandra Mohan,Channa Ruparel,Anjan Srivastav,Taran Dhasmana Chandra Mohan Channa Ruparel Anjan Srivastav
5702,Himmat,-1970.0,152,"Action, Drama, Thriller",6.4,31,Ravikant Nagaich,Jeetendra,Mumtaz,Prem Chopra,Ravikant Nagaich Jeetendra Mumtaz Prem Chopra
5703,Himmat,-1996.0,138,"Action, Drama, Thriller",4.5,196,Sunil Sharma,Anand,Sunny Deol,Tabu,Sunil Sharma Anand Sunny Deol Tabu
5704,Himmat,-1941.0,0,,6.0,,R.K. Shoery,Ragni,Begg,Majnu,R.K. Shoery Ragni Begg Majnu
5705,Himmat Aur Mehanat,-1987.0,137,"Action, Comedy, Drama",5.0,43,K. Bapaiah,Jeetendra,Sridevi,Asrani,K. Bapaiah Jeetendra Sridevi Asrani
5706,Himmat-e-Marda,-1935.0,0,"Adventure, Romance",6.0,,G.P. Pawar,Master Bhagwan,Lalita Pawar,,G.P. Pawar Master Bhagwan Lalita Pawar 
5707,Himmatvar,-1996.0,149,"Action, Drama",5.1,18,Talat Jani,Arun Bakshi,Gajendra Chauhan,Dharmendra,Talat Jani Arun Bakshi Gajendra Chauhan Dharmendra
5708,Himmatwala,-1983.0,179,"Action, Comedy, Drama",4.5,275,K. Raghavendra Rao,Sridevi,Jeetendra,Amjad Khan,K. Raghavendra Rao Sridevi Jeetendra Amjad Khan
5709,Himmatwala,-1998.0,120,Action,4.3,26,Jayant Gilatar,Tinnu Anand,Beena Banerjee,Mithun Chakraborty,Jayant Gilatar Tinnu Anand Beena Banerjee Mithun Chakraborty
5710,Himmatwala,-2013.0,150,"Action, Comedy, Drama",1.7,"8,186",Sajid Khan,Ajay Devgn,Tamannaah Bhatia,Mahesh Manjrekar,Sajid Khan Ajay Devgn Tamannaah Bhatia Mahesh Manjrekar
5711,Himmatwali,-1947.0,0,,6.0,,Nanabhai Bhatt,Fearless Nadia,Prakash,,Nanabhai Bhatt Fearless Nadia Prakash 
5712,Himmatwali,-1974.0,0,Action,6.0,,Jyothi Lakshmi,Tyagraj,,,Jyothi Lakshmi Tyagraj  
5713,"Hind Desh Ke Nivasi- We, the people of India",-2015.0,0,Documentary,6.0,,Priya Jhavar,,,,Priya Jhavar   
5714,Hind Ka Lal,-1940.0,0,Action,6.0,,Ranjibhai Arya,Homi Wadia,Sardar Mansur,Radharani,Ranjibhai Arya Homi Wadia Sardar Mansur Radharani
5715,Hind Ka Napak Ko Jawab,-2017.0,130,"Action, Thriller",6.6,"3,993",Honeypreet Insan,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Honeypreet Insan,Honeypreet Insan Gurmeet Ram Rahim Singh Gurmeet Ram Rahim Singh Honeypreet Insan
5716,Hind Kesari,-1935.0,141,"Adventure, Fantasy",6.0,,Homi Wadia,Husn Banu,Sardar Mansur,Dilawar,Homi Wadia Husn Banu Sardar Mansur Dilawar
5717,Hind Ki Beti,-1996.0,0,Action,6.0,,Joginder Shelly,Shagufta Ali,Arun Bakshi,Ramesh Bhatkar,Joginder Shelly Shagufta Ali Arun Bakshi Ramesh Bhatkar
5718,Hind Ki Wali,-1978.0,0,Drama,6.0,,,,,,   
5719,Hind Mahila,-1936.0,0,,6.0,,Premankur Atorthy,Shahu Modak,Master Vithal,Rattan Bai,Premankur Atorthy Shahu Modak Master Vithal Rattan Bai
5720,Hindi Medium,-2017.0,132,"Comedy, Drama",7.9,"24,676",Saket Chaudhary,Irrfan Khan,Saba Qamar,Dishita Sehgal,Saket Chaudhary Irrfan Khan Saba Qamar Dishita Sehgal
5721,Hindustan,-1932.0,0,,6.0,,Mukhtar Begum,Rose,Narmada Shankar,,Mukhtar Begum Rose Narmada Shankar 
5722,Hindustan,-2004.0,0,Action,6.0,,Iqbal Durrani,Tinnu Anand,Pooja Dadwal,Gulshan Grover,Iqbal Durrani Tinnu Anand Pooja Dadwal Gulshan Grover
5723,Hindustan Hamara,-1940.0,136,,6.0,,Ram Daryani,Jamuna,Padmadevi,Nandrekar,Ram Daryani Jamuna Padmadevi Nandrekar
5724,Hindustan Hamara,-1950.0,139,Documentary,6.0,,Paul Zils,Prithviraj Kapoor,Dev Anand,Prem Nath,Paul Zils Prithviraj Kapoor Dev Anand Prem Nath
5725,Hindustan Ki Kasam,-1973.0,152,"Action, Drama, War",6.2,120,Chetan Anand,Raaj Kumar,Priya Rajvansh,Balraj Sahni,Chetan Anand Raaj Kumar Priya Rajvansh Balraj Sahni
5726,Hindustani Sipahi,-2002.0,128,Action,5.3,7,Pasanta Bal,Victor Banerjee,Sabyasachi Chakrabarty,Mithun Chakraborty,Pasanta Bal Victor Banerjee Sabyasachi Chakrabarty Mithun Chakraborty
5727,Hinsa Par Vijay,-2015.0,0,Family,6.6,8,Kunal Kumar,Vicky Ahuja,Samiksha Bhatt,Sanjay Swaraj,Kunal Kumar Vicky Ahuja Samiksha Bhatt Sanjay Swaraj
5728,Hip Hip Hurray,-1984.0,0,"Drama, Sport",7.1,84,Prakash Jha,Raj Kiran,Deepti Naval,Satish Anand,Prakash Jha Raj Kiran Deepti Naval Satish Anand
5729,Hira Aur Patthar,-1977.0,125,Family,5.9,14,Vijay Bhatt,Ashok Kumar,Shashi Kapoor,Shabana Azmi,Vijay Bhatt Ashok Kumar Shashi Kapoor Shabana Azmi
5730,Hiraasat,-1987.0,180,"Action, Crime, Drama",5.4,33,Surendra Mohan,Hema Malini,Shatrughan Sinha,Mithun Chakraborty,Surendra Mohan Hema Malini Shatrughan Sinha Mithun Chakraborty
5731,His Highness,-1937.0,0,Action,6.0,,Balwant Bhatt,Jayant,Sardar Akhtar,Gulab,Balwant Bhatt Jayant Sardar Akhtar Gulab
5732,His Highness,-1964.0,0,Action,6.0,,Helen,Paidi Jairaj,Ratnamala,Chand Usmani,Helen Paidi Jairaj Ratnamala Chand Usmani
5733,His Memoir,-2018.0,50,"Action, Drama, Thriller",6.0,,Prashast Singh,Prashast Singh,,,Prashast Singh Prashast Singh  
5734,Hisaab Khoon Ka,-1989.0,0,"Drama, Mystery",5.4,33,Surendra Mohan,Mithun Chakraborty,Poonam Dhillon,Mandakini,Surendra Mohan Mithun Chakraborty Poonam Dhillon Mandakini
5735,Hisss,-2010.0,98,"Comedy, Drama, Horror",2.9,"1,661",Jennifer Lynch,Mallika Sherawat,Irrfan Khan,Jeff Doucette,Jennifer Lynch Mallika Sherawat Irrfan Khan Jeff Doucette
5736,History of Yoga,-2015.0,0,"Documentary, History",7.5,6,Deepika Kothari,Ramji,,,Deepika Kothari Ramji  
5737,HIT Hindi Remake,-1991.0,0,Crime,6.0,,Sailesh Kolanu,,,,Sailesh Kolanu   
5738,Hitback,-2016.0,78,Drama,6.0,,Jojo D'Souza,Sonika Lotliker,Sonam Morajkar,Salil Naik,Jojo D'Souza Sonika Lotliker Sonam Morajkar Salil Naik
5739,Hitler,-1988.0,138,"Action, Crime, Drama",5.4,53,T.L.V. Prasad,Mithun Chakraborty,Shilpa Shirodkar,Manek Bedi,T.L.V. Prasad Mithun Chakraborty Shilpa Shirodkar Manek Bedi
5740,Hitlist,-2006.0,0,"Action, Crime, Drama",6.0,,Nabh Kumar 'Raju',Bharat Dabholkar,Govind Namdeo,Mukesh Ahuja,Nabh Kumar 'Raju' Bharat Dabholkar Govind Namdeo Mukesh Ahuja
5741,Ho Jaata Hai Pyaar,-2005.0,0,"Drama, Romance",2.8,15,Basit Khan,Rati Agnihotri,Aleeza,Beena Banerjee,Basit Khan Rati Agnihotri Aleeza Beena Banerjee
5742,Ho Sakta Hai!,-2004.0,101,"Crime, Horror, Thriller",6.1,45,Wilson Louis,Victor Banerjee,Krishna Bhatt,Mahesh Bhatt,Wilson Louis Victor Banerjee Krishna Bhatt Mahesh Bhatt
5743,Hocus Focus,-1991.0,85,Thriller,6.0,,Praveen Madan Raj Dodeja,Suchhi Kumar,Satinder Singh Gahlot,Sona Bhandari,Praveen Madan Raj Dodeja Suchhi Kumar Satinder Singh Gahlot Sona Bhandari
5744,Hogaya Dimaagh Ka Dahi,-2015.0,124,"Comedy, Drama",3.8,45,Fauzia Arshi,Rajesh Bakshi,Danish Bhatt,Bunty Chopra,Fauzia Arshi Rajesh Bakshi Danish Bhatt Bunty Chopra
5745,Hogi Pyaar Ki Jeet,-1999.0,180,"Action, Comedy, Drama",4.3,513,P. Vasu,Ajay Devgn,Shabana Raza,Arshad Warsi,P. Vasu Ajay Devgn Shabana Raza Arshad Warsi
5746,Holi,-1985.0,120,"Comedy, Drama",7.4,557,Ketan Mehta,Ashutosh Gowariker,Aamir Khan,Rahul Ranade,Ketan Mehta Ashutosh Gowariker Aamir Khan Rahul Ranade
5747,Holi,-1940.0,137,,6.0,,Abdul Rashid Kardar,Motilal,Khurshid Begum,Ishwarlal,Abdul Rashid Kardar Motilal Khurshid Begum Ishwarlal
5748,Holi Ayee Re,-1970.0,144,"Drama, Family",5.9,9,Harsukh Jagneshwar Bhatt,Mala Sinha,Balraj Sahni,Premendra,Harsukh Jagneshwar Bhatt Mala Sinha Balraj Sahni Premendra
5749,Holiday,-2006.0,0,"Drama, Musical, Romance",4.3,139,Pooja Bhatt,Onjolee Nair,Dino Morea,Kashmira Shah,Pooja Bhatt Onjolee Nair Dino Morea Kashmira Shah
5750,Holiday in Bombay,-1963.0,0,Drama,5.8,19,P.L. Santoshi,Shashi Kapoor,Vijaya Choudhury,Rajendranath Malhotra,P.L. Santoshi Shashi Kapoor Vijaya Choudhury Rajendranath Malhotra
5751,Holiday: A Soldier is Never Off Duty,-2014.0,160,"Action, Thriller",7.2,"26,163",A.R. Murugadoss,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,A.R. Murugadoss Akshay Kumar Sonakshi Sinha Freddy Daruwala
5752,Hollywood,-2003.0,130,"Comedy, Sci-Fi",7.0,196,D. Rajendra Babu,Emma Dean,Felicity Mason,Anant Nag,D. Rajendra Babu Emma Dean Felicity Mason Anant Nag
5753,Holy Cow,-2021.0,0,Comedy,6.0,,Sai Kabir,Nawazuddin Siddiqui,Sanjay Mishra,Tigmanshu Dhulia,Sai Kabir Nawazuddin Siddiqui Sanjay Mishra Tigmanshu Dhulia
5754,Home Delivery: Aapko... Ghar Tak,-2005.0,151,"Comedy, Romance",3.1,600,Sujoy Ghosh,Vivek Oberoi,Mahima Chaudhry,Ayesha Takia,Sujoy Ghosh Vivek Oberoi Mahima Chaudhry Ayesha Takia
5755,Home Stories,-2020.0,47,Comedy,6.6,18,Tanvi Gandhi,Anubhuti Kashyap,Ashwin Laxmi Narayan,Sahirr Sethhi,Tanvi Gandhi Anubhuti Kashyap Ashwin Laxmi Narayan Sahirr Sethhi
5756,Homecoming,-2016.0,123,"Drama, Musical",6.0,,Yogesh Master,Shankar Aryan,,,Yogesh Master Shankar Aryan  
5757,Honey,-1982.0,0,Drama,6.0,,Sheetal,Master Bhagwan,Jagdeep,Pradeep Kumar,Sheetal Master Bhagwan Jagdeep Pradeep Kumar
5758,Honey Bunny in Bank Robbery,-2017.0,47,"Animation, Comedy",6.0,,Vijay Roche,Deepak Nair,Dolly Lopes,Meena Nahata,Vijay Roche Deepak Nair Dolly Lopes Meena Nahata
5759,Honey Bunny in Kung Fu Challenge,-2018.0,50,Action,6.0,,Vijay Roche,Deepak Nair,Dolly Lopes,Meena Nahata,Vijay Roche Deepak Nair Dolly Lopes Meena Nahata
5760,Honeymoon,-1973.0,128,"Comedy, Drama, Family",6.5,33,Hiren Nag,Leena Chandavarkar,Anil Dhawan,Nazima,Hiren Nag Leena Chandavarkar Anil Dhawan Nazima
5761,Honeymoon,-1960.0,140,"Drama, Family",6.0,,Lekhraj Bhakri,Manoj Kumar,Sayeeda Khan,Vijaya Choudhury,Lekhraj Bhakri Manoj Kumar Sayeeda Khan Vijaya Choudhury
5762,Honeymoon,-1992.0,160,"Comedy, Drama",5.6,51,Surendra Mohan,Rishi Kapoor,Varsha Usgaonkar,Ashwini Bhave,Surendra Mohan Rishi Kapoor Varsha Usgaonkar Ashwini Bhave
5763,Honeymoon Travels Pvt. Ltd.,-2007.0,118,"Comedy, Drama, Romance",6.1,"2,411",Reema Kagti,Abhay Deol,Minissha Lamba,Boman Irani,Reema Kagti Abhay Deol Minissha Lamba Boman Irani
5764,Hong Kong,-1962.0,0,Thriller,6.0,,Saroja Devi B.,Helen,Kitty,King Kong,Saroja Devi B. Helen Kitty King Kong
5765,Honhar,-1936.0,0,,6.0,,Gajanan Jagirdar,,,,Gajanan Jagirdar   
5766,Hoore Baghdad,-1934.0,0,,6.0,,Vimala Vasishta,,,,Vimala Vasishta   
5767,Hoore Samandar,-1936.0,0,,6.0,,Dhirubhai Desai,Sultana,,,Dhirubhai Desai Sultana  
5768,Hoor-E-Arab,-1955.0,0,Adventure,6.0,,Prem Narayan Arora,Chitra,Helen,Pradeep Kumar,Prem Narayan Arora Chitra Helen Pradeep Kumar
5769,Hoor-E-Misar,-1932.0,0,,6.0,,Homi Master,,,,Homi Master   
5770,Hope Aur Hum,-2018.0,96,"Comedy, Drama, Family",6.3,414,Sudip Bandyopadhyay,Naseeruddin Shah,Kabir Sajid,Virti Vaghani,Sudip Bandyopadhyay Naseeruddin Shah Kabir Sajid Virti Vaghani
5771,Hope Dies Last in War,-2007.0,80,Documentary,6.0,,Supriyo Sen,,,,Supriyo Sen   
5772,Hopscotch,-2015.0,87,"Horror, Thriller",6.0,,Shomshuklla Das,Sohini Mukherjee Roy,,,Shomshuklla Das Sohini Mukherjee Roy  
5773,Horn 'OK' Pleassss,-2009.0,0,Comedy,3.8,41,Rakesh Sarang,Muzamil Ibrahim,Nana Patekar,Rimi Sen,Rakesh Sarang Muzamil Ibrahim Nana Patekar Rimi Sen
5774,Horror Night,-2017.0,115,Horror,3.5,11,Suraj Bharti,Sahilraj Dewangen,Johnny Janarden,Shubham Kathe,Suraj Bharti Sahilraj Dewangen Johnny Janarden Shubham Kathe
5775,Horror Story,-2013.0,91,Horror,4.2,"1,747",Ayush Raina,Karan Kundra,Nishant Malkani,Hasan Zaidi,Ayush Raina Karan Kundra Nishant Malkani Hasan Zaidi
5776,Horse & Rider: A Journey Towards Freedom,-2012.0,59,"Documentary, Biography",6.0,,Ben Stamper,,,,Ben Stamper   
5777,Hosh,-2004.0,0,Thriller,6.0,,Guddu Jaffrey,Sandeep Bedi,Shweta,Shikhar,Guddu Jaffrey Sandeep Bedi Shweta Shikhar
5778,Hoshiyar,-1985.0,147,"Action, Comedy, Drama",4.7,33,K. Raghavendra Rao,Jeetendra,Shatrughan Sinha,Asrani,K. Raghavendra Rao Jeetendra Shatrughan Sinha Asrani
5779,Hospital,-1943.0,0,,6.0,,Sushil Majumdar,Manorama,,,Sushil Majumdar Manorama  
5780,Hostel,-2011.0,111,"Action, Crime, Drama",5.2,579,Manish Gupta,Vatsal Sheth,Tulip Joshi,Mukesh Tiwari,Manish Gupta Vatsal Sheth Tulip Joshi Mukesh Tiwari
5781,Hostel Girl's,-2018.0,0,Crime,6.0,,Rajesh Kamalwar,Ujala Baboria,Shifu Chaudhary,Jessica Chauhan,Rajesh Kamalwar Ujala Baboria Shifu Chaudhary Jessica Chauhan
5782,Hot Malaika,-2005.0,0,Thriller,6.0,,Amit Kapoor,Dimple Sewak,Ashika Suryavanshi,Vinod Tripathi,Amit Kapoor Dimple Sewak Ashika Suryavanshi Vinod Tripathi
5783,Hot Mashooka: A Dangerous Lover,-2005.0,91,Thriller,6.0,,Rashmi Chopra,Komal Leels,Ganesh Pardeshi,,Rashmi Chopra Komal Leels Ganesh Pardeshi 
5784,Hot Money,-2006.0,116,Mystery,6.0,,Rakesh Sawant,Rati Agnihotri,Tom Alter,Tinnu Anand,Rakesh Sawant Rati Agnihotri Tom Alter Tinnu Anand
5785,Hota Hai Dil Pyaar Mein Paagal,-2006.0,118,Romance,5.1,15,Mahesh Kapoor,Asrani,Bobby Darling,Manoj Joshi,Mahesh Kapoor Asrani Bobby Darling Manoj Joshi
5786,Hote Hote Pyar Hogaya,-1999.0,140,"Romance, Action, Crime",5.0,291,Firoz Irani,Kajol,Atul Agnihotri,Jackie Shroff,Firoz Irani Kajol Atul Agnihotri Jackie Shroff
5787,Hotel,-1981.0,135,"Horror, Mystery",6.2,97,Shyam Ramsay,Tulsi Ramsay,Navin Nischol,Rakesh Roshan,Shyam Ramsay Tulsi Ramsay Navin Nischol Rakesh Roshan
5788,Hotel,-1956.0,120,,6.0,,Manmohan Sabir,Geeta Bali,Paidi Jairaj,Pran,Manmohan Sabir Geeta Bali Paidi Jairaj Pran
5789,Hotel Beautifool,-2017.0,130,Comedy,5.8,10,Sammir i Patel,Rajith Menon,Brijendra Kala,Johnny Lever,Sammir i Patel Rajith Menon Brijendra Kala Johnny Lever
5790,Hotel Milan,-2018.0,130,"Comedy, Drama",3.8,78,Vishal Mishra,Kunaal Roy Kapur,Karishma Sharma,Zeishan Quadri,Vishal Mishra Kunaal Roy Kapur Karishma Sharma Zeishan Quadri
5791,Hotel Mumbai,-2018.0,123,"Action, Drama, History",7.6,"56,048",Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,Anthony Maras Dev Patel Armie Hammer Nazanin Boniadi
5792,Hotel Salvation,-2016.0,102,"Comedy, Drama",7.1,"2,009",Shubhashish Bhutiani,Adil Hussain,Lalit Behl,Geetanjali Kulkarni,Shubhashish Bhutiani Adil Hussain Lalit Behl Geetanjali Kulkarni
5793,Hothal Padmini,-1934.0,0,,6.0,,Kanjibhai Rathod,Sardar Akhtar,,,Kanjibhai Rathod Sardar Akhtar  
5794,Hottestmail.com,-2004.0,104,Thriller,6.0,,Sikander Bhatia,Reshmi Ghosh,Vishesh Khanna,,Sikander Bhatia Reshmi Ghosh Vishesh Khanna 
5795,Hourglass,-1991.0,0,Thriller,6.0,,,,,,   
5796,House Arrest,-2019.0,104,Comedy,5.5,"1,486",Samit Basu,Shashanka Ghosh,Ali Fazal,Shriya Pilgaonkar,Samit Basu Shashanka Ghosh Ali Fazal Shriya Pilgaonkar
5797,House No. 13,-1991.0,112,Horror,5.8,36,Baby,Salim Fateh,Baby Vijaya,Anil Dhawan,Baby Salim Fateh Baby Vijaya Anil Dhawan
5798,House No. 44,-1955.0,0,"Crime, Drama",7.3,70,M.K. Burman,Dev Anand,Kalpana Kartik,K.N. Singh,M.K. Burman Dev Anand Kalpana Kartik K.N. Singh
5799,House No. 446,-2021.0,0,"Horror, Thriller",7.8,8,Kritika Sachdeva,Vandana Seth,Vishal Singh,Prince Thakur,Kritika Sachdeva Vandana Seth Vishal Singh Prince Thakur
5800,House of Knowledge,-2015.0,92,"Biography, History",6.0,,Shivanand Somappa,,,,Shivanand Somappa   
5801,House of Memories,-2000.0,130,"Drama, Family",7.3,311,Aparna Sen,Soumitra Chatterjee,Aparna Sen,Rituparna Sengupta,Aparna Sen Soumitra Chatterjee Aparna Sen Rituparna Sengupta
5802,Houseful,-2009.0,127,Drama,6.4,37,Bappaditya Bandopadhyay,Prasenjit Chatterjee,Rimjhim Gupta,Sreelekha Mitra,Bappaditya Bandopadhyay Prasenjit Chatterjee Rimjhim Gupta Sreelekha Mitra
5803,Housefull,-2010.0,144,"Comedy, Romance",5.5,"13,169",Sajid Khan,Akshay Kumar,Deepika Padukone,Riteish Deshmukh,Sajid Khan Akshay Kumar Deepika Padukone Riteish Deshmukh
5804,Housefull 2,-2012.0,145,"Action, Comedy, Musical",5.3,"13,576",Sajid Khan,Akshay Kumar,John Abraham,Asin Thottumkal,Sajid Khan Akshay Kumar John Abraham Asin Thottumkal
5805,Housefull 3,-2016.0,140,"Action, Comedy, Romance",5.0,"8,653",Sajid,Farhad Samji,Akshay Kumar,Abhishek Bachchan,Sajid Farhad Samji Akshay Kumar Abhishek Bachchan
5806,Housefull 4,-2019.0,145,"Action, Comedy, Drama",3.5,"10,908",Farhad Samji,Akshay Kumar,Sam Nagar,Riteish Deshmukh,Farhad Samji Akshay Kumar Sam Nagar Riteish Deshmukh
5807,Housefull 5,-1991.0,0,Comedy,6.0,,Akshay Kumar,Jacqueline Fernandez,Pooja Hegde,Kriti Sanon,Akshay Kumar Jacqueline Fernandez Pooja Hegde Kriti Sanon
5808,Howrah Bridge,-1958.0,153,"Musical, Thriller",6.9,200,Shakti Samanta,Madhubala,Ashok Kumar,K.N. Singh,Shakti Samanta Madhubala Ashok Kumar K.N. Singh
5809,Howrah Express,-1961.0,0,Thriller,6.0,,Kamal Sharma,Chitra,Helen,Rajan,Kamal Sharma Chitra Helen Rajan
5810,Hriday Manthan,-1936.0,0,,6.0,,Jaddanbai,Urmila Devi,A. Hussein,Jaddanbai,Jaddanbai Urmila Devi A. Hussein Jaddanbai
5811,Hu Tu Tu,-1999.0,172,Drama,6.4,442,Gulzar,Nana Patekar,Sunil Shetty,Tabu,Gulzar Nana Patekar Sunil Shetty Tabu
5812,Hua Savera,-1948.0,0,Drama,6.0,,Kulbhushan Agarwal,D.K. Sapru,Nayantara,Premkant,Kulbhushan Agarwal D.K. Sapru Nayantara Premkant
5813,Hukum ka ekka,-1964.0,0,Thriller,6.0,,Ravindra Vyas,Samar Roy,Renu Maker,Master Bhagwan,Ravindra Vyas Samar Roy Renu Maker Master Bhagwan
5814,Hukumat,-1987.0,130,"Action, Drama",6.1,140,Anil Sharma,Dharmendra,Rati Agnihotri,Shammi Kapoor,Anil Sharma Dharmendra Rati Agnihotri Shammi Kapoor
5815,Hukumat,-1954.0,0,,6.0,,Raja Yagnik,Manher Desai,Anwar Hussain,Kuldip Kaur,Raja Yagnik Manher Desai Anwar Hussain Kuldip Kaur
5816,Hukumnama,-1996.0,0,"Action, Thriller",6.0,,B.R. Ishara,Mukesh Khanna,Rajat Kumar,Zaheer Rizvi,B.R. Ishara Mukesh Khanna Rajat Kumar Zaheer Rizvi
5817,Hulchul,-1951.0,0,Drama,7.5,54,S.K. Ojha,Nargis,Sitara,Dilip Kumar,S.K. Ojha Nargis Sitara Dilip Kumar
5818,Hulchul,-1995.0,152,"Action, Romance, Comedy",4.6,416,Anees Bazmee,Vinod Khanna,Ajay Devgn,Kajol,Anees Bazmee Vinod Khanna Ajay Devgn Kajol
5819,Hulchul,-1971.0,149,"Adventure, Comedy, Crime",7.1,83,O.P. Ralhan,O.P. Ralhan,Prem Chopra,Madan Puri,O.P. Ralhan O.P. Ralhan Prem Chopra Madan Puri
5820,Hulchul,-2004.0,149,"Action, Comedy, Drama",7.0,"7,251",Priyadarshan,Akshaye Khanna,Kareena Kapoor,Amrish Puri,Priyadarshan Akshaye Khanna Kareena Kapoor Amrish Puri
5821,Hulla,-2008.0,107,"Comedy, Drama",6.4,234,Jaideep Varma,Sushant Singh,Kartika Rane,Rajat Kapoor,Jaideep Varma Sushant Singh Kartika Rane Rajat Kapoor
5822,Hum,-1991.0,184,"Action, Comedy, Drama",6.8,"2,794",Mukul Anand,Amitabh Bachchan,Rajinikanth,Govinda,Mukul Anand Amitabh Bachchan Rajinikanth Govinda
5823,Hum Aapke Dil Mein Rehte Hain,-1999.0,168,"Drama, Romance",5.7,"1,564",Satish Kaushik,Anil Kapoor,Kajol,Anupam Kher,Satish Kaushik Anil Kapoor Kajol Anupam Kher
5824,Hum Aapke Hain Koun...!,-1994.0,206,"Comedy, Drama, Musical",7.5,"19,669",Sooraj R. Barjatya,Madhuri Dixit,Salman Khan,Mohnish Bahl,Sooraj R. Barjatya Madhuri Dixit Salman Khan Mohnish Bahl
5825,Hum Bachhey Hindustan Ke,-1984.0,0,Drama,6.0,,Pallavi Joshi,Umesh Khanna,,,Pallavi Joshi Umesh Khanna  
5826,Hum Baja Bajaa Denge,-2015.0,0,Thriller,6.0,,Chandra Barot,Sanam Bakshi,Nandini Jumani,Tamjeed Elahi Khan,Chandra Barot Sanam Bakshi Nandini Jumani Tamjeed Elahi Khan
5827,Hum Bhi Insaan Hain,-1948.0,0,Drama,7.1,16,Phani Majumdar,Dev Anand,Ramola,Amir Banu,Phani Majumdar Dev Anand Ramola Amir Banu
5828,Hum Bhi Insaan Hain,-1989.0,149,"Action, Crime, Drama",5.8,37,Manivannan,Sanjay Dutt,Jackie Shroff,Neelam Kothari,Manivannan Sanjay Dutt Jackie Shroff Neelam Kothari
5829,Hum Bhi Insaan Hain,-1959.0,0,,6.0,,Robin Majumdar,Lata Sinha,Abhi Bhattacharya,Chaman Puri,Robin Majumdar Lata Sinha Abhi Bhattacharya Chaman Puri
5830,Hum Bhi Kuch Kam Nahi) We Are No Less,-1991.0,0,Drama,6.0,,T. Prakash Rao,,,,T. Prakash Rao   
5831,Hum Bhi Kuch Kum Nahi,-1979.0,0,Action,6.0,,Krishna Ghattamaneni,Vijayalalitha,,,Krishna Ghattamaneni Vijayalalitha  
5832,Hum Bhi Kuchh Kum Nahin,-1958.0,0,Drama,6.0,,Ameeta,Sumitra Devi,Majnu,Ranjan,Ameeta Sumitra Devi Majnu Ranjan
5833,Hum Chaar,-2019.0,143,Drama,5.7,286,Abhishek Dixit,Prit Kamani,Simran Sharma,Anshuman Malhotra,Abhishek Dixit Prit Kamani Simran Sharma Anshuman Malhotra
5834,Hum Deewane Pyar Ke,-2001.0,0,Romance,6.0,,Amitava Bhattacharya,Rakesh Bedi,Rohini Hattangadi,Aruna Irani,Amitava Bhattacharya Rakesh Bedi Rohini Hattangadi Aruna Irani
5835,Hum Dil De Chuke Sanam,-1999.0,177,"Comedy, Drama, Musical",7.5,"17,490",Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Salman Khan,Ajay Devgn,Sanjay Leela Bhansali Aishwarya Rai Bachchan Salman Khan Ajay Devgn
5836,Hum Diwane,-1965.0,0,,6.0,,Master Bhagwan,Mumtaz,Chandrashekhar,Agha,Master Bhagwan Mumtaz Chandrashekhar Agha
5837,Hum Do Anjaane,-2011.0,0,"Action, Crime, Drama",3.3,15,Milind Swamy,Naresh Kaura,Ankita Bhargava Patel,Jackie Shroff,Milind Swamy Naresh Kaura Ankita Bhargava Patel Jackie Shroff
5838,Hum Do Bhagode,-2011.0,158,Comedy,6.0,,Rajeev Jaitly,Manoj Bakshi,Kavita Joshi,Pratap Kumar,Rajeev Jaitly Manoj Bakshi Kavita Joshi Pratap Kumar
5839,Hum Do Bundlebaaz,-1995.0,0,Action,6.0,,N.S. Vaidya,Laxmikant Berde,Roohi Berde,Vijay Chavan,N.S. Vaidya Laxmikant Berde Roohi Berde Vijay Chavan
